#lon lat ve vn vu se sn su name
176.62116 -39.74720 -8.56917 -11.30346 -4.72921 2.44181 0.16112 0.87775 rakw
176.68069 -40.10436 -13.15747 -13.43560 -0.55731 1.39964 0.51535 0.39425 oroa
176.02883 -39.70338 -3.42495 -6.87401 -0.49832 0.46166 0.27438 0.96098 mkno
177.06980 -39.17230 0.16372 -16.64789 -1.98567 0.35450 0.32907 0.46493 kuta
175.59785 -39.32693 -0.59633 -3.00519 -0.54901 0.30671 0.13549 0.65944 vgwn
175.58898 -39.28240 -0.21950 -2.79873 -1.84514 0.45415 0.20380 0.66785 vgwh
175.60894 -39.27726 -0.49131 -2.79236 -1.56455 0.35008 0.21183 0.64162 vgts
175.54831 -39.29841 -0.31576 -2.59220 -1.11305 0.22785 0.15227 0.69827 vgtr
175.66514 -39.16307 0.08697 -2.51886 -3.14772 0.23639 0.13408 0.61303 vgot
175.54224 -39.19983 0.29562 -2.44485 -1.98650 0.30515 0.12190 0.51993 vgob
175.55269 -39.25515 0.07588 -2.48335 -0.92928 0.23189 0.13172 0.47925 vgfw
176.04747 -38.84584 2.62249 -6.94841 0.98087 0.42849 0.94727 0.87617 tgoh
148.26461 -32.99876 0.23864 -0.89795 -0.13818 0.22957 0.25212 0.68953 park
166.48489 -22.22832 0.79409 -0.44288 -1.10285 0.26964 0.25040 0.30293 nrmd
167.26378 -20.91799 0.54412 0.52790 -1.93841 0.29354 0.38386 1.55009 lpil
132.15328 -14.37600 -0.04555 0.04427 0.30582 0.23024 0.10190 0.78029 kat1
200.19939 -21.20103 -76.54686 18.02386 -0.30175 0.14470 0.26717 0.39628 ckis
152.32101 -24.90822 0.49324 0.17362 -0.66192 0.14952 0.14520 0.27343 bndy
169.89321 -43.63770 -15.62601 -6.23303 3.39820 0.27979 0.18982 0.39673 vexa
210.39369 -17.57703 -82.91863 27.53360 -0.89709 0.16438 0.24961 0.30651 tah1
115.88525 -31.80196 0.03667 -0.25674 -2.18277 0.13669 0.11168 0.49167 pert
170.06122 -43.75612 -20.48824 -9.11966 2.00725 0.60369 0.37594 0.22897 nett
210.38570 -17.55531 -83.08914 27.63725 -0.95845 0.21144 0.35823 0.30975 faa1
