x,z,y,dy_dx,dy_dz
-160.0,-44.0,-12.91070818731365,0.0,-0.0
-156.0,-44.0,-12.91070818731365,0.0,-0.0
-152.0,-44.0,-12.91070818731365,0.0,-0.0
-148.0,-44.0,-12.91070818731365,0.0,-0.0
-144.0,-44.0,-12.91070818731365,0.0,-0.0
-140.0,-44.0,-12.91070818731365,0.0,-0.0
-136.0,-44.0,-12.91070818731365,0.0,-0.0
-132.0,-44.0,-12.91070818731365,0.0,-0.0
-128.0,-44.0,-12.91070818731365,0.0,-0.0
-124.0,-44.0,-12.91070818731365,0.0,-0.0
-120.0,-44.0,-12.91070818731365,0.0,-0.0
-116.0,-44.0,-12.91070818731365,0.0,-0.0
-112.0,-44.0,-12.91070818731365,0.0,-0.0
-108.0,-44.0,-12.91070818731365,0.0,-0.0
-104.0,-44.0,-12.91070818731365,0.0,-0.0
-100.0,-44.0,-12.91070818731365,0.0,-0.0
-96.0,-44.0,-12.91070818731365,0.0,-0.0
-92.0,-44.0,-12.91070818731365,0.0,-0.0
-88.0,-44.0,-12.91070818731365,0.0,-0.0
-84.0,-44.0,-12.91070818731365,0.0,-0.0
-80.0,-44.0,-12.91070818731365,0.0,-0.0
-76.0,-44.0,-12.91070818731365,0.0,-0.0
-72.0,-44.0,-12.91070818731365,0.0,-0.0
-68.0,-44.0,-12.91070818731365,0.0,-0.0
-64.0,-44.0,-12.91070818731365,0.0,-0.0
-60.0,-44.0,-12.91070818731365,0.0,-0.0
-56.0,-44.0,-12.91070818731365,0.0,-0.0
-52.0,-44.0,-12.91070818731365,0.0,-0.0
-48.0,-44.0,-12.91070818731365,0.0,-0.0
-44.0,-44.0,-12.91070818731365,0.0,-0.0
-40.0,-44.0,-12.91070818731365,0.0,-0.0
-36.0,-44.0,-12.91070818731365,0.0,-0.0
-32.0,-44.0,-12.91070818731365,0.0,-0.0
-28.0,-44.0,-12.91070818731365,0.0,-0.0
-24.0,-44.0,-12.91070818731365,0.0,-0.0
-20.0,-44.0,-12.91070818731365,0.0,-0.0
-16.0,-44.0,-12.91070818731365,0.0,-0.0
-12.0,-44.0,-12.91070818731365,0.0,-0.0
-8.0,-44.0,-12.91070818731365,0.0,-0.0
-4.0,-44.0,-12.91070818731365,0.0,-0.0
0.0,-44.0,-12.91070818731365,0.0,-0.0
4.0,-44.0,-12.91070818731365,0.0,-0.0
8.0,-44.0,-12.91070818731365,0.0,-0.0
12.0,-44.0,-12.91070818731365,0.0,-0.0
16.0,-44.0,-12.91070818731365,0.0,-0.0
20.0,-44.0,-12.91070818731365,0.0,-0.0
24.0,-44.0,-12.91070818731365,0.0,-0.0
28.0,-44.0,-12.91070818731365,0.0,-0.0
